"","Sex","Mechanism","Measure","variable","value"
"3850","Females","Poisons (excl. gas)","Number","1982","216"
"3851","Females","Gas","Number","1982","35"
"3852","Females","Firearms","Number","1982","35"
"3853","Females","Hanging","Number","1982","62"
"3854","Females","Other mechanisms","Number","1982","111"
"3855","Females","All mechanisms","Number","1982","459"
"3895","Males","Poisons (excl. gas)","Number","1983","179"
"3896","Males","Gas","Number","1983","207"
"3897","Males","Firearms","Number","1983","485"
"3898","Males","Hanging","Number","1983","244"
"3899","Males","Other mechanisms","Number","1983","193"
"3900","Males","All mechanisms","Number","1983","1308"
"3901","Females","Poisons (excl. gas)","Number","1983","206"
"3902","Females","Gas","Number","1983","34"
"3903","Females","Firearms","Number","1983","35"
"3904","Females","Hanging","Number","1983","58"
"3905","Females","Other mechanisms","Number","1983","85"
"3906","Females","All mechanisms","Number","1983","418"
"3946","Males","Poisons (excl. gas)","Number","1984","209"
"3947","Males","Gas","Number","1984","230"
"3948","Males","Firearms","Number","1984","478"
"3949","Males","Hanging","Number","1984","231"
"3950","Males","Other mechanisms","Number","1984","161"
"3951","Males","All mechanisms","Number","1984","1309"
"3952","Females","Poisons (excl. gas)","Number","1984","161"
"3953","Females","Gas","Number","1984","33"
"3954","Females","Firearms","Number","1984","46"
"3955","Females","Hanging","Number","1984","62"
"3956","Females","Other mechanisms","Number","1984","101"
"3957","Females","All mechanisms","Number","1984","403"
"3997","Males","Poisons (excl. gas)","Number","1985","188"
"3998","Males","Gas","Number","1985","292"
"3999","Males","Firearms","Number","1985","507"
"4000","Males","Hanging","Number","1985","252"
"4001","Males","Other mechanisms","Number","1985","189"
"4002","Males","All mechanisms","Number","1985","1428"
"4003","Females","Poisons (excl. gas)","Number","1985","146"
"4004","Females","Gas","Number","1985","52"
"4005","Females","Firearms","Number","1985","45"
"4006","Females","Hanging","Number","1985","74"
"4007","Females","Other mechanisms","Number","1985","82"
"4008","Females","All mechanisms","Number","1985","399"
"4048","Males","Poisons (excl. gas)","Number","1986","187"
"4049","Males","Gas","Number","1986","356"
"4050","Males","Firearms","Number","1986","508"
"4051","Males","Hanging","Number","1986","282"
"4052","Males","Other mechanisms","Number","1986","198"
"4053","Males","All mechanisms","Number","1986","1531"
"4054","Females","Poisons (excl. gas)","Number","1986","179"
"4055","Females","Gas","Number","1986","62"
"4056","Females","Firearms","Number","1986","41"
"4057","Females","Hanging","Number","1986","67"
"4058","Females","Other mechanisms","Number","1986","102"
"4059","Females","All mechanisms","Number","1986","451"
"4099","Males","Poisons (excl. gas)","Number","1987","228"
"4100","Males","Gas","Number","1987","374"
"4101","Males","Firearms","Number","1987","534"
"4102","Males","Hanging","Number","1987","414"
"4103","Males","Other mechanisms","Number","1987","223"
"4104","Males","All mechanisms","Number","1987","1773"
"4105","Females","Poisons (excl. gas)","Number","1987","207"
"4106","Females","Gas","Number","1987","50"
"4107","Females","Firearms","Number","1987","38"
"4108","Females","Hanging","Number","1987","78"
"4109","Females","Other mechanisms","Number","1987","94"
"4110","Females","All mechanisms","Number","1987","467"
"4150","Males","Poisons (excl. gas)","Number","1988","211"
"4151","Males","Gas","Number","1988","366"
"4152","Males","Firearms","Number","1988","489"
"4153","Males","Hanging","Number","1988","424"
"4154","Males","Other mechanisms","Number","1988","240"
"4155","Males","All mechanisms","Number","1988","1730"
"4156","Females","Poisons (excl. gas)","Number","1988","187"
"4157","Females","Gas","Number","1988","70"
"4158","Females","Firearms","Number","1988","32"
"4159","Females","Hanging","Number","1988","91"
"4160","Females","Other mechanisms","Number","1988","87"
"4161","Females","All mechanisms","Number","1988","467"
"4201","Males","Poisons (excl. gas)","Number","1989","181"
"4202","Males","Gas","Number","1989","365"
"4203","Males","Firearms","Number","1989","421"
"4204","Males","Hanging","Number","1989","467"
"4205","Males","Other mechanisms","Number","1989","224"
"4206","Males","All mechanisms","Number","1989","1658"
"4207","Females","Poisons (excl. gas)","Number","1989","161"
"4208","Females","Gas","Number","1989","54"
"4209","Females","Firearms","Number","1989","30"
"4210","Females","Hanging","Number","1989","88"
"4211","Females","Other mechanisms","Number","1989","105"
"4212","Females","All mechanisms","Number","1989","438"
"4252","Males","Poisons (excl. gas)","Number","1990","224"
"4253","Males","Gas","Number","1990","387"
"4254","Males","Firearms","Number","1990","456"
"4255","Males","Hanging","Number","1990","460"
"4256","Males","Other mechanisms","Number","1990","208"
"4257","Males","All mechanisms","Number","1990","1735"
"4258","Females","Poisons (excl. gas)","Number","1990","162"
"4259","Females","Gas","Number","1990","50"
"4260","Females","Firearms","Number","1990","32"
"4261","Females","Hanging","Number","1990","98"
"4262","Females","Other mechanisms","Number","1990","84"
"4263","Females","All mechanisms","Number","1990","426"
"4303","Males","Poisons (excl. gas)","Number","1991","242"
"4304","Males","Gas","Number","1991","414"
"4305","Males","Firearms","Number","1991","487"
"4306","Males","Hanging","Number","1991","479"
"4307","Males","Other mechanisms","Number","1991","225"
"4308","Males","All mechanisms","Number","1991","1847"
"4309","Females","Poisons (excl. gas)","Number","1991","193"
"4310","Females","Gas","Number","1991","74"
"4311","Females","Firearms","Number","1991","23"
"4312","Females","Hanging","Number","1991","108"
"4313","Females","Other mechanisms","Number","1991","115"
"4314","Females","All mechanisms","Number","1991","513"
"4354","Males","Poisons (excl. gas)","Number","1992","212"
"4355","Males","Gas","Number","1992","419"
"4356","Males","Firearms","Number","1992","464"
"4357","Males","Hanging","Number","1992","496"
"4358","Males","Other mechanisms","Number","1992","229"
"4359","Males","All mechanisms","Number","1992","1820"
"4360","Females","Poisons (excl. gas)","Number","1992","186"
"4361","Females","Gas","Number","1992","61"
"4362","Females","Firearms","Number","1992","26"
"4363","Females","Hanging","Number","1992","93"
"4364","Females","Other mechanisms","Number","1992","108"
"4365","Females","All mechanisms","Number","1992","474"
"4405","Males","Poisons (excl. gas)","Number","1993","177"
"4406","Males","Gas","Number","1993","353"
"4407","Males","Firearms","Number","1993","418"
"4408","Males","Hanging","Number","1993","507"
"4409","Males","Other mechanisms","Number","1993","232"
"4410","Males","All mechanisms","Number","1993","1687"
"4411","Females","Poisons (excl. gas)","Number","1993","137"
"4412","Females","Gas","Number","1993","57"
"4413","Females","Firearms","Number","1993","17"
"4414","Females","Hanging","Number","1993","88"
"4415","Females","Other mechanisms","Number","1993","95"
"4416","Females","All mechanisms","Number","1993","394"
"4456","Males","Poisons (excl. gas)","Number","1994","219"
"4457","Males","Gas","Number","1994","394"
"4458","Males","Firearms","Number","1994","400"
"4459","Males","Hanging","Number","1994","532"
"4460","Males","Other mechanisms","Number","1994","285"
"4461","Males","All mechanisms","Number","1994","1830"
"4462","Females","Poisons (excl. gas)","Number","1994","156"
"4463","Females","Gas","Number","1994","58"
"4464","Females","Firearms","Number","1994","20"
"4465","Females","Hanging","Number","1994","107"
"4466","Females","Other mechanisms","Number","1994","87"
"4467","Females","All mechanisms","Number","1994","428"
"4507","Males","Poisons (excl. gas)","Number","1995","222"
"4508","Males","Gas","Number","1995","427"
"4509","Males","Firearms","Number","1995","366"
"4510","Males","Hanging","Number","1995","585"
"4511","Males","Other mechanisms","Number","1995","273"
"4512","Males","All mechanisms","Number","1995","1873"
"4513","Females","Poisons (excl. gas)","Number","1995","161"
"4514","Females","Gas","Number","1995","94"
"4515","Females","Firearms","Number","1995","23"
"4516","Females","Hanging","Number","1995","114"
"4517","Females","Other mechanisms","Number","1995","103"
"4518","Females","All mechanisms","Number","1995","495"
"4558","Males","Poisons (excl. gas)","Number","1996","199"
"4559","Males","Gas","Number","1996","450"
"4560","Males","Firearms","Number","1996","369"
"4561","Males","Hanging","Number","1996","672"
"4562","Males","Other mechanisms","Number","1996","241"
"4563","Males","All mechanisms","Number","1996","1931"
"4564","Females","Poisons (excl. gas)","Number","1996","179"
"4565","Females","Gas","Number","1996","80"
"4566","Females","Firearms","Number","1996","15"
"4567","Females","Hanging","Number","1996","120"
"4568","Females","Other mechanisms","Number","1996","68"
"4569","Females","All mechanisms","Number","1996","462"
"4609","Males","Poisons (excl. gas)","Number","1997","190"
"4610","Males","Gas","Number","1997","525"
"4611","Males","Firearms","Number","1997","309"
"4612","Males","Hanging","Number","1997","812"
"4613","Males","Other mechanisms","Number","1997","309"
"4614","Males","All mechanisms","Number","1997","2145"
"4615","Females","Poisons (excl. gas)","Number","1997","157"
"4616","Females","Gas","Number","1997","108"
"4617","Females","Firearms","Number","1997","21"
"4618","Females","Hanging","Number","1997","175"
"4619","Females","Other mechanisms","Number","1997","116"
"4620","Females","All mechanisms","Number","1997","577"
"4660","Males","Poisons (excl. gas)","Number","1998","178"
"4661","Males","Gas","Number","1998","478"
"4662","Males","Firearms","Number","1998","218"
"4663","Males","Hanging","Number","1998","1035"
"4664","Males","Other mechanisms","Number","1998","241"
"4665","Males","All mechanisms","Number","1998","2150"
"4666","Females","Poisons (excl. gas)","Number","1998","158"
"4667","Females","Gas","Number","1998","82"
"4668","Females","Firearms","Number","1998","17"
"4669","Females","Hanging","Number","1998","182"
"4670","Females","Other mechanisms","Number","1998","94"
"4671","Females","All mechanisms","Number","1998","533"
"4711","Males","Poisons (excl. gas)","Number","1999","177"
"4712","Males","Gas","Number","1999","473"
"4713","Males","Firearms","Number","1999","257"
"4714","Males","Hanging","Number","1999","868"
"4715","Males","Other mechanisms","Number","1999","227"
"4716","Males","All mechanisms","Number","1999","2002"
"4717","Females","Poisons (excl. gas)","Number","1999","125"
"4718","Females","Gas","Number","1999","98"
"4719","Females","Firearms","Number","1999","13"
"4720","Females","Hanging","Number","1999","160"
"4721","Females","Other mechanisms","Number","1999","94"
"4722","Females","All mechanisms","Number","1999","490"
"4762","Males","Poisons (excl. gas)","Number","2000","175"
"4763","Males","Gas","Number","2000","441"
"4764","Males","Firearms","Number","2000","213"
"4765","Males","Hanging","Number","2000","807"
"4766","Males","Other mechanisms","Number","2000","228"
"4767","Males","All mechanisms","Number","2000","1864"
"4768","Females","Poisons (excl. gas)","Number","2000","134"
"4769","Females","Gas","Number","2000","97"
"4770","Females","Firearms","Number","2000","10"
"4771","Females","Hanging","Number","2000","182"
"4772","Females","Other mechanisms","Number","2000","80"
"4773","Females","All mechanisms","Number","2000","503"
"4813","Males","Poisons (excl. gas)","Number","2001","175"
"4814","Males","Gas","Number","2001","403"
"4815","Males","Firearms","Number","2001","242"
"4816","Males","Hanging","Number","2001","855"
"4817","Males","Other mechanisms","Number","2001","261"
"4818","Males","All mechanisms","Number","2001","1936"
"4819","Females","Poisons (excl. gas)","Number","2001","139"
"4820","Females","Gas","Number","2001","81"
"4821","Females","Firearms","Number","2001","20"
"4822","Females","Hanging","Number","2001","195"
"4823","Females","Other mechanisms","Number","2001","86"
"4824","Females","All mechanisms","Number","2001","521"
"4864","Males","Poisons (excl. gas)","Number","2002","172"
"4865","Males","Gas","Number","2002","346"
"4866","Males","Firearms","Number","2002","207"
"4867","Males","Hanging","Number","2002","846"
"4868","Males","Other mechanisms","Number","2002","246"
"4869","Males","All mechanisms","Number","2002","1817"
"4870","Females","Poisons (excl. gas)","Number","2002","138"
"4871","Females","Gas","Number","2002","70"
"4872","Females","Firearms","Number","2002","11"
"4873","Females","Hanging","Number","2002","199"
"4874","Females","Other mechanisms","Number","2002","85"
"4875","Females","All mechanisms","Number","2002","503"
"4915","Males","Poisons (excl. gas)","Number","2003","171"
"4916","Males","Gas","Number","2003","317"
"4917","Males","Firearms","Number","2003","185"
"4918","Males","Hanging","Number","2003","820"
"4919","Males","Other mechanisms","Number","2003","244"
"4920","Males","All mechanisms","Number","2003","1737"
"4921","Females","Poisons (excl. gas)","Number","2003","134"
"4922","Females","Gas","Number","2003","71"
"4923","Females","Firearms","Number","2003","9"
"4924","Females","Hanging","Number","2003","176"
"4925","Females","Other mechanisms","Number","2003","87"
"4926","Females","All mechanisms","Number","2003","477"
"4966","Males","Poisons (excl. gas)","Number","2004","146"
"4967","Males","Gas","Number","2004","312"
"4968","Males","Firearms","Number","2004","164"
"4969","Males","Hanging","Number","2004","822"
"4970","Males","Other mechanisms","Number","2004","217"
"4971","Males","All mechanisms","Number","2004","1661"
"4972","Females","Poisons (excl. gas)","Number","2004","108"
"4973","Females","Gas","Number","2004","65"
"4974","Females","Firearms","Number","2004","5"
"4975","Females","Hanging","Number","2004","176"
"4976","Females","Other mechanisms","Number","2004","83"
"4977","Females","All mechanisms","Number","2004","437"
"5017","Males","Poisons (excl. gas)","Number","2005","136"
"5018","Males","Gas","Number","2005","278"
"5019","Males","Firearms","Number","2005","136"
"5020","Males","Hanging","Number","2005","885"
"5021","Males","Other mechanisms","Number","2005","223"
"5022","Males","All mechanisms","Number","2005","1658"
"5023","Females","Poisons (excl. gas)","Number","2005","124"
"5024","Females","Gas","Number","2005","46"
"5025","Females","Firearms","Number","2005","11"
"5026","Females","Hanging","Number","2005","183"
"5027","Females","Other mechanisms","Number","2005","80"
"5028","Females","All mechanisms","Number","2005","444"
"5068","Males","Poisons (excl. gas)","Number","2006","120"
"5069","Males","Gas","Number","2006","228"
"5070","Males","Firearms","Number","2006","175"
"5071","Males","Hanging","Number","2006","872"
"5072","Males","Other mechanisms","Number","2006","229"
"5073","Males","All mechanisms","Number","2006","1624"
"5074","Females","Poisons (excl. gas)","Number","2006","139"
"5075","Females","Gas","Number","2006","40"
"5076","Females","Firearms","Number","2006","10"
"5077","Females","Hanging","Number","2006","208"
"5078","Females","Other mechanisms","Number","2006","97"
"5079","Females","All mechanisms","Number","2006","494"
"5119","Males","Poisons (excl. gas)","Number","2007","144"
"5120","Males","Gas","Number","2007","201"
"5121","Males","Firearms","Number","2007","183"
"5122","Males","Hanging","Number","2007","934"
"5123","Males","Other mechanisms","Number","2007","237"
"5124","Males","All mechanisms","Number","2007","1699"
"5125","Females","Poisons (excl. gas)","Number","2007","174"
"5126","Females","Gas","Number","2007","40"
"5127","Females","Firearms","Number","2007","8"
"5128","Females","Hanging","Number","2007","216"
"5129","Females","Other mechanisms","Number","2007","92"
"5130","Females","All mechanisms","Number","2007","530"
"5170","Males","Poisons (excl. gas)","Number","2008","178"
"5171","Males","Gas","Number","2008","197"
"5172","Males","Firearms","Number","2008","171"
"5173","Males","Hanging","Number","2008","998"
"5174","Males","Other mechanisms","Number","2008","289"
"5175","Males","All mechanisms","Number","2008","1833"
"5176","Females","Poisons (excl. gas)","Number","2008","138"
"5177","Females","Gas","Number","2008","33"
"5178","Females","Firearms","Number","2008","12"
"5179","Females","Hanging","Number","2008","215"
"5180","Females","Other mechanisms","Number","2008","110"
"5181","Females","All mechanisms","Number","2008","508"
"5221","Males","Poisons (excl. gas)","Number","2009","187"
"5222","Males","Gas","Number","2009","209"
"5223","Males","Firearms","Number","2009","166"
"5224","Males","Hanging","Number","2009","969"
"5225","Males","Other mechanisms","Number","2009","254"
"5226","Males","All mechanisms","Number","2009","1785"
"5227","Females","Poisons (excl. gas)","Number","2009","175"
"5228","Females","Gas","Number","2009","41"
"5229","Females","Firearms","Number","2009","8"
"5230","Females","Hanging","Number","2009","228"
"5231","Females","Other mechanisms","Number","2009","100"
"5232","Females","All mechanisms","Number","2009","552"
"5272","Males","Poisons (excl. gas)","Number","2010","159"
"5273","Males","Gas","Number","2010","189"
"5274","Males","Firearms","Number","2010","158"
"5275","Males","Hanging","Number","2010","1119"
"5276","Males","Other mechanisms","Number","2010","289"
"5277","Males","All mechanisms","Number","2010","1914"
"5278","Females","Poisons (excl. gas)","Number","2010","163"
"5279","Females","Gas","Number","2010","33"
"5280","Females","Firearms","Number","2010","14"
"5281","Females","Hanging","Number","2010","256"
"5282","Females","Other mechanisms","Number","2010","100"
"5283","Females","All mechanisms","Number","2010","566"
"5323","Males","Poisons (excl. gas)","Number","2011","187"
"5324","Males","Gas","Number","2011","165"
"5325","Males","Firearms","Number","2011","137"
"5326","Males","Hanging","Number","2011","1054"
"5327","Males","Other mechanisms","Number","2011","269"
"5328","Males","All mechanisms","Number","2011","1812"
"5329","Females","Poisons (excl. gas)","Number","2011","174"
"5330","Females","Gas","Number","2011","37"
"5331","Females","Firearms","Number","2011","7"
"5332","Females","Hanging","Number","2011","271"
"5333","Females","Other mechanisms","Number","2011","92"
"5334","Females","All mechanisms","Number","2011","581"
"5374","Males","Poisons (excl. gas)","Number","2012","222"
"5375","Males","Gas","Number","2012","159"
"5376","Males","Firearms","Number","2012","170"
"5377","Males","Hanging","Number","2012","1084"
"5378","Males","Other mechanisms","Number","2012","295"
"5379","Males","All mechanisms","Number","2012","1930"
"5380","Females","Poisons (excl. gas)","Number","2012","184"
"5381","Females","Gas","Number","2012","36"
"5382","Females","Firearms","Number","2012","8"
"5383","Females","Hanging","Number","2012","301"
"5384","Females","Other mechanisms","Number","2012","121"
"5385","Females","All mechanisms","Number","2012","650"
"5425","Males","Poisons (excl. gas)","Number","2013","188"
"5426","Males","Gas","Number","2013","150"
"5427","Males","Firearms","Number","2013","161"
"5428","Males","Hanging","Number","2013","1115"
"5429","Males","Other mechanisms","Number","2013","330"
"5430","Males","All mechanisms","Number","2013","1944"
"5431","Females","Poisons (excl. gas)","Number","2013","216"
"5432","Females","Gas","Number","2013","25"
"5433","Females","Firearms","Number","2013","7"
"5434","Females","Hanging","Number","2013","305"
"5435","Females","Other mechanisms","Number","2013","113"
"5436","Females","All mechanisms","Number","2013","666"
"5476","Males","Poisons (excl. gas)","Number","2014","244"
"5477","Males","Gas","Number","2014","148"
"5478","Males","Firearms","Number","2014","178"
"5479","Males","Hanging","Number","2014","1285"
"5480","Males","Other mechanisms","Number","2014","353"
"5481","Males","All mechanisms","Number","2014","2208"
"5482","Females","Poisons (excl. gas)","Number","2014","221"
"5483","Females","Gas","Number","2014","26"
"5484","Females","Firearms","Number","2014","5"
"5485","Females","Hanging","Number","2014","349"
"5486","Females","Other mechanisms","Number","2014","113"
"5487","Females","All mechanisms","Number","2014","714"
"5527","Males","Poisons (excl. gas)","Number","2015","272"
"5528","Males","Gas","Number","2015","153"
"5529","Males","Firearms","Number","2015","182"
"5530","Males","Hanging","Number","2015","1348"
"5531","Males","Other mechanisms","Number","2015","374"
"5532","Males","All mechanisms","Number","2015","2329"
"5533","Females","Poisons (excl. gas)","Number","2015","233"
"5534","Females","Gas","Number","2015","33"
"5535","Females","Firearms","Number","2015","3"
"5536","Females","Hanging","Number","2015","364"
"5537","Females","Other mechanisms","Number","2015","131"
"5538","Females","All mechanisms","Number","2015","764"
"5578","Males","Poisons (excl. gas)","Number","2016","236"
"5579","Males","Gas","Number","2016","129"
"5580","Males","Firearms","Number","2016","175"
"5581","Males","Hanging","Number","2016","1251"
"5582","Males","Other mechanisms","Number","2016","380"
"5583","Males","All mechanisms","Number","2016","2171"
"5584","Females","Poisons (excl. gas)","Number","2016","217"
"5585","Females","Gas","Number","2016","26"
"5586","Females","Firearms","Number","2016","12"
"5587","Females","Hanging","Number","2016","345"
"5588","Females","Other mechanisms","Number","2016","138"
"5589","Females","All mechanisms","Number","2016","738"
"5629","Males","Poisons (excl. gas)","Number","2017","261"
"5630","Males","Gas","Number","2017","146"
"5631","Males","Firearms","Number","2017","161"
"5632","Males","Hanging","Number","2017","1495"
"5633","Males","Other mechanisms","Number","2017","387"
"5634","Males","All mechanisms","Number","2017","2450"
"5635","Females","Poisons (excl. gas)","Number","2017","261"
"5636","Females","Gas","Number","2017","15"
"5637","Females","Firearms","Number","2017","8"
"5638","Females","Hanging","Number","2017","386"
"5639","Females","Other mechanisms","Number","2017","165"
"5640","Females","All mechanisms","Number","2017","835"
"5680","Males","Poisons (excl. gas)","Number","2018","236"
"5681","Males","Gas","Number","2018","120"
"5682","Males","Firearms","Number","2018","169"
"5683","Males","Hanging","Number","2018","1492"
"5684","Males","Other mechanisms","Number","2018","375"
"5685","Males","All mechanisms","Number","2018","2392"
"5686","Females","Poisons (excl. gas)","Number","2018","227"
"5687","Females","Gas","Number","2018","24"
"5688","Females","Firearms","Number","2018","4"
"5689","Females","Hanging","Number","2018","361"
"5690","Females","Other mechanisms","Number","2018","130"
"5691","Females","All mechanisms","Number","2018","746"
"5731","Males","Poisons (excl. gas)","Number","2019","250"
"5732","Males","Gas","Number","2019","117"
"5733","Males","Firearms","Number","2019","172"
"5734","Males","Hanging","Number","2019","1553"
"5735","Males","Other mechanisms","Number","2019","410"
"5736","Males","All mechanisms","Number","2019","2502"
"5737","Females","Poisons (excl. gas)","Number","2019","242"
"5738","Females","Gas","Number","2019","20"
"5739","Females","Firearms","Number","2019","8"
"5740","Females","Hanging","Number","2019","411"
"5741","Females","Other mechanisms","Number","2019","135"
"5742","Females","All mechanisms","Number","2019","816"
